"gridcell" "division" "subdivision" "lat" "lon" "size"
"1" "924" 110 "1101" 60.625 -42.25 222.319147851593
"2" "1001" 115 "1151" 61.375 -0.75 217.162836137312
"3" "1002" 115 "1151" 61.375 -0.25 217.162836137312
"4" "1003" 115 "1151" 61.125 -0.75 218.886016749819
"5" "1004" 115 "1151" 61.125 -0.25 218.886016749819
"6" "1011" 115 "1151" 61.375 -1.75 217.162836137312
"7" "1012" 115 "1151" 61.375 -1.25 217.162836137312
"8" "1013" 115 "1151" 61.125 -1.75 218.886016749819
"9" "1014" 115 "1151" 61.125 -1.25 218.886016749819
"10" "1021" 115 "1151" 61.375 -2.75 217.162836137312
"11" "1022" 115 "1151" 61.375 -2.25 217.162836137312
"12" "1023" 115 "1151" 61.125 -2.75 218.886016749819
"13" "1024" 115 "1151" 61.125 -2.25 218.886016749819
"14" "1031" 115 "1151" 61.375 -3.75 217.162836137312
"15" "1032" 115 "1151" 61.375 -3.25 217.162836137312
"16" "1033" 115 "1151" 61.125 -3.75 218.886016749819
"17" "1034" 115 "1151" 61.125 -3.25 218.88601674982
"18" "1041" 115 "1151" 61.375 -4.75 217.162836137312
"19" "1042" 115 "1151" 61.375 -4.25 217.162836137312
"20" "1043" 115 "1151" 61.125 -4.75 218.886016749819
"21" "1044" 115 "1151" 61.125 -4.25 218.886016749819
"22" "1051" 115 "1151" 61.375 -5.75 217.162836137312
"23" "1052" 115 "1151" 61.375 -5.25 217.162836137312
"24" "1053" 115 "1151" 61.125 -5.75 218.886016749819
"25" "1054" 115 "1151" 61.125 -5.25 218.886016749819
"26" "1061" 115 "1151" 61.375 -6.75 217.162836137312
"27" "1062" 115 "1151" 61.375 -6.25 217.162836137312
"28" "1063" 115 "1151" 61.125 -6.75 218.886016749819
"29" "1064" 115 "1151" 61.125 -6.25 218.88601674982
"30" "1071" 115 "1151" 61.375 -7.75 217.162836137312
"31" "1072" 115 "1151" 61.375 -7.25 217.162836137311
"32" "1073" 115 "1151" 61.125 -7.75 218.88601674982
"33" "1074" 115 "1151" 61.125 -7.25 218.886016749819
"34" "1081" 114 "1142" 61.375 -8.75 217.162836137311
"35" "1082" 114 "1142" 61.375 -8.25 217.162836137312
"36" "1083" 114 "1142" 61.125 -8.75 218.886016749819
"37" "1084" 114 "1142" 61.125 -8.25 218.88601674982
"38" "1091" 114 "1143" 61.375 -9.75 217.162836137312
"39" "1092" 114 "1142" 61.375 -9.25 217.162836137311
"40" "1093" 114 "1143" 61.125 -9.75 218.88601674982
"41" "1094" 114 "1142" 61.125 -9.25 218.886016749819
"42" "1101" 114 "1143" 61.375 -10.75 217.162836137311
"43" "1102" 114 "1143" 61.375 -10.25 217.162836137312
"44" "1103" 114 "1143" 61.125 -10.75 218.886016749819
"45" "1104" 114 "1143" 61.125 -10.25 218.88601674982
"46" "1111" 114 "1143" 61.375 -11.75 217.162836137312
"47" "1112" 114 "1143" 61.375 -11.25 217.162836137311
"48" "1113" 114 "1143" 61.125 -11.75 218.88601674982
"49" "1114" 114 "1143" 61.125 -11.25 218.886016749819
"50" "1121" 114 "1146" 61.375 -12.75 217.162836137312
"51" "1122" 114 "1143" 61.375 -12.25 217.162836137312
"52" "1123" 114 "1146" 61.125 -12.75 218.88601674982
"53" "1124" 114 "1143" 61.125 -12.25 218.88601674982
"54" "1131" 114 "1146" 61.375 -13.75 217.162836137312
"55" "1132" 114 "1146" 61.375 -13.25 217.162836137311
"56" "1133" 114 "1146" 61.125 -13.75 218.88601674982
"57" "1134" 114 "1146" 61.125 -13.25 218.886016749819
"58" "1141" 114 "1146" 61.375 -14.75 217.16283613731
"59" "1142" 114 "1146" 61.375 -14.25 217.162836137312
"60" "1143" 114 "1146" 61.125 -14.75 218.886016749818
"61" "1144" 114 "1146" 61.125 -14.25 218.88601674982
"62" "1151" 114 "1146" 61.375 -15.75 217.162836137312
"63" "1152" 114 "1146" 61.375 -15.25 217.162836137312
"64" "1153" 114 "1146" 61.125 -15.75 218.88601674982
"65" "1154" 114 "1146" 61.125 -15.25 218.88601674982
"66" "1161" 114 "1146" 61.375 -16.75 217.162836137312
"67" "1162" 114 "1146" 61.375 -16.25 217.162836137312
"68" "1163" 114 "1146" 61.125 -16.75 218.88601674982
"69" "1164" 114 "1146" 61.125 -16.25 218.88601674982
"70" "1171" 114 "1146" 61.375 -17.75 217.162836137312
"71" "1172" 114 "1146" 61.375 -17.25 217.16283613731
"72" "1173" 114 "1146" 61.125 -17.75 218.88601674982
"73" "1174" 114 "1146" 61.125 -17.25 218.886016749818
"74" "1181" 114 "1146" 61.375 -18.75 217.16283613731
"75" "1182" 114 "1146" 61.375 -18.25 217.162836137312
"76" "1183" 114 "1146" 61.125 -18.75 218.886016749818
"77" "1184" 114 "1146" 61.125 -18.25 218.88601674982
"78" "1191" 114 "1146" 61.375 -19.75 217.162836137312
"79" "1192" 114 "1146" 61.375 -19.25 217.162836137312
"80" "1193" 114 "1146" 61.125 -19.75 218.88601674982
"81" "1194" 114 "1146" 61.125 -19.25 218.88601674982
"82" "1201" 114 "1146" 61.375 -20.75 217.162836137313
"83" "1202" 114 "1146" 61.375 -20.25 217.16283613731
"84" "1203" 114 "1146" 61.125 -20.75 218.886016749821
"85" "1204" 114 "1146" 61.125 -20.25 218.886016749818
"86" "1211" 114 "1146" 61.375 -21.75 217.162836137312
"87" "1212" 114 "1146" 61.375 -21.25 217.16283613731
"88" "1213" 114 "1146" 61.125 -21.75 218.88601674982
"89" "1214" 114 "1146" 61.125 -21.25 218.886016749818
"90" "1221" 114 "1146" 61.375 -22.75 217.16283613731
"91" "1222" 114 "1146" 61.375 -22.25 217.162836137312
"92" "1223" 114 "1146" 61.125 -22.75 218.886016749818
"93" "1224" 114 "1146" 61.125 -22.25 218.88601674982
"94" "1231" 114 "1146" 61.375 -23.75 217.16283613731
"95" "1232" 114 "1146" 61.375 -23.25 217.162836137313
"96" "1233" 114 "1146" 61.125 -23.75 218.886016749818
"97" "1234" 114 "1146" 61.125 -23.25 218.886016749821
"98" "1241" 114 "1146" 61.375 -24.75 217.162836137312
"99" "1242" 114 "1146" 61.375 -24.25 217.162836137312
"100" "1243" 114 "1146" 61.125 -24.75 218.88601674982
"101" "1244" 114 "1146" 61.125 -24.25 218.88601674982
"102" "1251" 109 "1091" 61.375 -25.75 217.162836137313
"103" "1252" 114 "1146" 61.375 -25.25 217.16283613731
"104" "1253" 114 "1146" 61.125 -25.75 218.886016749821
"105" "1254" 114 "1146" 61.125 -25.25 218.886016749818
"106" "1261" 109 "1091" 61.375 -26.75 217.162836137312
"107" "1262" 109 "1091" 61.375 -26.25 217.16283613731
"108" "1263" 109 "1091" 61.125 -26.75 218.88601674982
"109" "1264" 109 "1091" 61.125 -26.25 218.886016749818
"110" "1271" 109 "1092" 61.375 -27.75 217.162836137312
"111" "1272" 109 "1092" 61.375 -27.25 217.162836137312
"112" "1273" 109 "1092" 61.125 -27.75 218.88601674982
"113" "1274" 109 "1091" 61.125 -27.25 218.88601674982
"114" "1281" 109 "1094" 61.375 -28.75 217.162836137313
"115" "1282" 109 "1094" 61.375 -28.25 217.16283613731
"116" "1283" 109 "1094" 61.125 -28.75 218.886016749821
"117" "1284" 109 "1092" 61.125 -28.25 218.886016749818
"118" "1291" 109 "1094" 61.375 -29.75 217.162836137312
"119" "1292" 109 "1094" 61.375 -29.25 217.162836137309
"120" "1293" 109 "1094" 61.125 -29.75 218.88601674982
"121" "1294" 109 "1094" 61.125 -29.25 218.886016749817
"122" "1301" 109 "1094" 61.375 -30.75 217.162836137312
"123" "1302" 109 "1094" 61.375 -30.25 217.162836137312
"124" "1303" 109 "1094" 61.125 -30.75 218.88601674982
"125" "1304" 109 "1094" 61.125 -30.25 218.88601674982
"126" "1311" 109 "1094" 61.375 -31.75 217.162836137312
"127" "1312" 109 "1094" 61.375 -31.25 217.162836137312
"128" "1313" 109 "1094" 61.125 -31.75 218.88601674982
"129" "1314" 109 "1094" 61.125 -31.25 218.88601674982
"130" "1411" 110 "1101" 61.375 -41.75 217.162836137312
"131" "1412" 110 "1101" 61.375 -41.25 217.162836137315
"132" "1413" 110 "1101" 61.125 -41.75 218.88601674982
"133" "1414" 110 "1101" 61.125 -41.25 218.886016749822
"134" "1421" 110 "1101" 61.375 -42.75 217.162836137309
"135" "1422" 110 "1101" 61.375 -42.25 217.162836137312
"136" "1423" 110 "1101" 61.125 -42.75 218.886016749817
"137" "1424" 110 "1101" 61.125 -42.25 218.88601674982
"138" "1501" 115 "1151" 61.875 -0.75 213.703409656883
"139" "1502" 115 "1151" 61.875 -0.25 213.703409656883
"140" "1503" 115 "1151" 61.625 -0.75 215.435289407377
"141" "1504" 115 "1151" 61.625 -0.25 215.435289407377
"142" "1511" 115 "1151" 61.875 -1.75 213.703409656883
"143" "1512" 115 "1151" 61.875 -1.25 213.703409656883
"144" "1513" 115 "1151" 61.625 -1.75 215.435289407377
"145" "1514" 115 "1151" 61.625 -1.25 215.435289407376
"146" "1521" 115 "1151" 61.875 -2.75 213.703409656883
"147" "1522" 115 "1151" 61.875 -2.25 213.703409656883
"148" "1523" 115 "1151" 61.625 -2.75 215.435289407376
"149" "1524" 115 "1151" 61.625 -2.25 215.435289407376
"150" "1531" 115 "1151" 61.875 -3.75 213.703409656883
"151" "1532" 115 "1151" 61.875 -3.25 213.703409656883
"152" "1533" 115 "1151" 61.625 -3.75 215.435289407376
"153" "1534" 115 "1151" 61.625 -3.25 215.435289407377
"154" "1541" 115 "1151" 61.875 -4.75 213.703409656883
"155" "1542" 115 "1151" 61.875 -4.25 213.703409656883
"156" "1543" 115 "1151" 61.625 -4.75 215.435289407376
"157" "1544" 115 "1151" 61.625 -4.25 215.435289407376
"158" "1551" 115 "1151" 61.875 -5.75 213.703409656883
"159" "1552" 115 "1151" 61.875 -5.25 213.703409656883
"160" "1553" 115 "1151" 61.625 -5.75 215.435289407376
"161" "1554" 115 "1151" 61.625 -5.25 215.435289407376
"162" "1561" 115 "1151" 61.875 -6.75 213.703409656883
"163" "1562" 115 "1151" 61.875 -6.25 213.703409656883
"164" "1563" 115 "1151" 61.625 -6.75 215.435289407376
"165" "1564" 115 "1151" 61.625 -6.25 215.435289407377
"166" "1571" 115 "1151" 61.875 -7.75 213.703409656883
"167" "1572" 115 "1151" 61.875 -7.25 213.703409656883
"168" "1573" 115 "1151" 61.625 -7.75 215.435289407377
"169" "1574" 115 "1151" 61.625 -7.25 215.435289407376
"170" "1581" 114 "1141" 61.875 -8.75 213.703409656883
"171" "1582" 114 "1141" 61.875 -8.25 213.703409656883
"172" "1583" 114 "1142" 61.625 -8.75 215.435289407376
"173" "1584" 114 "1141" 61.625 -8.25 215.435289407377
"174" "1591" 114 "1142" 61.875 -9.75 213.703409656883
"175" "1592" 114 "1142" 61.875 -9.25 213.703409656883
"176" "1593" 114 "1143" 61.625 -9.75 215.435289407377
"177" "1594" 114 "1142" 61.625 -9.25 215.435289407376
"178" "1601" 114 "1143" 61.875 -10.75 213.703409656883
"179" "1602" 114 "1142" 61.875 -10.25 213.703409656883
"180" "1603" 114 "1143" 61.625 -10.75 215.435289407376
"181" "1604" 114 "1143" 61.625 -10.25 215.435289407377
"182" "1611" 114 "1143" 61.875 -11.75 213.703409656883
"183" "1612" 114 "1143" 61.875 -11.25 213.703409656883
"184" "1613" 114 "1143" 61.625 -11.75 215.435289407377
"185" "1614" 114 "1143" 61.625 -11.25 215.435289407376
"186" "1621" 114 "1143" 61.875 -12.75 213.703409656883
"187" "1622" 114 "1143" 61.875 -12.25 213.703409656883
"188" "1623" 114 "1143" 61.625 -12.75 215.435289407377
"189" "1624" 114 "1143" 61.625 -12.25 215.435289407377
"190" "1631" 114 "1146" 61.875 -13.75 213.703409656883
"191" "1632" 114 "1143" 61.875 -13.25 213.703409656883
"192" "1633" 114 "1146" 61.625 -13.75 215.435289407377
"193" "1634" 114 "1143" 61.625 -13.25 215.435289407376
"194" "1641" 114 "1146" 61.875 -14.75 213.703409656882
"195" "1642" 114 "1146" 61.875 -14.25 213.703409656883
"196" "1643" 114 "1146" 61.625 -14.75 215.435289407375
"197" "1644" 114 "1146" 61.625 -14.25 215.435289407377
"198" "1651" 114 "1146" 61.875 -15.75 213.703409656883
