"sampling_type" "sampling_type_desc_en" "sampling_type_desc_is"
"1" 1 "Samples collected by inspectors" "Sýni tekin af eftirlitsmanni"
"2" 2 "Samples collected by MFRI" "Sýni tekin í landi í útibúum eða verstöð"
"3" 3 "Samples collected by the Coast guard" "Sýni tekin af landhelgisgæslunni"
"4" 4 "Samples collected by fishermen" "Sýni safnað af skipsverjum/sjómönnum"
"5" 8 "Discard project samples" "Brottkastsverkefni"
"6" 9 "Discard project samples by fishermen, observed by inspectors" "Brottkastsverkefni, sýni tekin af starfsmönnum verksmiðja, eftirlitsmenn horfa á"
"7" 10 "Research cruise - MFRI vessels" "Nytjastofnarannsóknir - rannsóknaskip"
"8" 11 "Research cruise - leased vessels" "Nytjastofnarannsóknir - leiguskip"
"9" 12 "Hatching" "Klakrannsóknir"
"10" 13 "Larval research" "Seiðarannsóknir"
"11" 14 "Tagging" "Merkingar"
"12" 19 "Beam trawl survey" "Grunnslóðarannsóknir"
"13" 20 "Ecosystem cruise" "Sjó- og vistfræðirannsóknir"
"14" 21 "Mixed ecosystem and stock monitoring cruise - MFRI vessels" "Blandaðar nytjastofna-, sjó- og vistfræðirannsóknir - rannsóknaskip"
"15" 22 "Mixed ecosystem and stock monitoring cruise - leased vessels" "Blandaðar nytjastofna-, sjó- og vistfræðirannsóknir - leiguskip"
"16" 30 "Spring groundfish survey" "Stofnmæling botnfiska (SMB)"
"17" 31 "Offshore shrimp survey" "Stofnmæling úthafsrækju (SMR)"
"18" 32 "Greenland halibut survey" "Stofnmæling Grálúðu"
"19" 34 "Gillnet survey" "Netabátarall (SMN)"
"20" 37 "Inshore shrimp survey" "Stofnmæling innfjarðarrækju"
"21" 38 "Nephrop survey" "Stofnmæling humars"
"22" 39 "Scallop survey" "Stofnmæling hörpudisks"
"23" 35 "Autumn groundfish survey" "Stofnmæling botnfiska að haustlagi (SMH)"
"24" 70 "Gear experiments" "Veiðarfæratilraunir"
"25" 71 "Gear selectivity" "Kjörhæfni veiðarfæra"
"26" 72 "Gear comparison" "Samanburður veiðarfæra"
"27" 73 "Gear photography" "Kvik/ljósmyndum veiðarfæra"
"28" 74 "Gear measurement" "Mælingar á veiðarfærum"
"29" 75 "Mixed gear measurements" "Blandað, veiðarfæri, kjörhæfni, myndataka"
"30" 90 "Other research" "Aðrar rannsóknir"
"31" 91 "Whale research" "Hvalarannsóknir"
"32" 92 "Tuna research on Japanese boats" "Túnfisksrannsóknir á japönskum bátum"
"33" 93 "Herring research" "Síldarrannsóknir"
"34" 99 "Rare fish" "Sjaldgæfir fiskar"
"35" 94 NA "Sílarannsóknir"
"36" 40 "IESSNS (International Ecosystem Summer Survey in Nordic Seas)" "Stofnmæling Makríls"
"37" 41 "Autumn Capelin survey" "Haustmæling loðnu"
"38" 42 "Winter Capelin survey" "Vetrarmæling loðnu"
"39" 43 "Other Capelin survey" "Aðrir loðnuleiðangrar"
"40" 44 "IESNS (International Ecosystem Survey in Nordic Seas)" "Stofnmæling norsk-íslenskrar vorgotssíldar (IESNS)"
"41" 45 "ISSHAS (Icelandic Summer Spawning Herring Acoustic Survey)" "Stofnmæling íslenskrar sumargotssíldar (ISSHAS)"
