"reitur" "tow_nr" "smareitur" "start_lat" "start_lon" "end_lat" "end_lon" "start_tow_depth" "end_tow_depth" "warp" "tow_length" "tow_vert_open" "tow_horiz_open" "gridcell" "station"
"1" 665 3 3 66.7341666666667 -15.6861111111111 66.7402777777778 -15.8094444444444 175 140 250 3 5.1 77.2 6653 6650378
"2" 666 11 3 66.7441666666667 -16.8375 66.6944444444444 -16.8219444444444 140 172 220 3 5.1 76.6 6663 6661178
"3" 666 14 1 66.8291666666667 -16.6 66.7830555555555 -16.6522222222222 179 148 220 3 5.1 76.8 6661 6661478
"4" 667 12 2 66.9091666666667 -17.3069444444444 66.8594444444444 -17.31 231 235 320 3 5 82.6 6672 6671278
"5" 667 14 2 66.7861111111111 -17.1177777777778 66.7502777777778 -17.0280555555556 213 251 345 3 5 81.6 6672 6671478
"6" 668 3 4 66.6391666666667 -18.0233333333333 66.6519444444445 -18.1388888888889 160 195 325 3 5 79.6 6684 6680378
"7" 668 11 3 66.56 -18.5722222222222 66.5119444444444 -18.6066666666667 223 220 315 3 4.9 82 6683 6681178
"8" 669 3 3 66.6519444444445 -19.8022222222222 66.705 -19.7394444444444 141 152 205 3 4.9 77.2 6693 6690378
"9" 669 4 4 66.65 -19.24 66.7 -19.2230555555556 310 312 415 3 4.9 85.2 6694 6690478
"10" 670 4 1 66.9836111111111 -20.6975 66.9833333333333 -20.8258333333333 223 182 260 3 4.9 80.2 6701 6700478
"11" 670 12 4 66.5908333333333 -20.4394444444444 66.6138888888889 -20.3263888888889 281 224 375 3 4.9 83.4 6704 6701278
"12" 671 2 2 66.885 -21.175 66.8991666666667 -21.0511111111111 125 136 205 3 5 76.6 6712 6710278
"13" 671 11 4 66.6513888888889 -21.4591666666667 66.6013888888889 -21.5255555555556 117 117 135 3 5.2 72.8 6714 6711178
"14" 672 3 2 66.9027777777778 -22.5638888888889 66.9388888888889 -22.4694444444444 162 176 265 3 5 79.4 6722 6720378
"15" 672 12 1 66.8416666666667 -22.6833333333333 66.8805555555555 -22.6111111111111 126 143 215 3 5 76.4 6721 6721278
"16" 672 35 3 66.5919444444444 -22.9825 66.5572222222222 -22.8908333333333 63 75 100 3 5.3 67.4 6723 6723578
"17" 673 3 2 66.9 -23.4333333333333 66.9555555555556 -23.4972222222222 205 219 330 3 4.9 80.2 6732 6730378
"18" 673 13 4 66.7372222222222 -23.3597222222222 66.7555555555556 -23.2425 143 114 225 3 5.1 74.8 6734 6731378
"19" 674 12 3 66.5038888888889 -24.7747222222222 66.5055555555556 -24.6452777777778 110 105 200 3 5.1 73.4 6743 6741278
"20" 674 15 1 66.8638888888889 -24.6163888888889 66.8936111111111 -24.5094444444444 213 223 330 3 5 82.4 6741 6741578
"21" 674 16 4 66.6819444444445 -24.3488888888889 66.6758333333333 -24.2194444444444 144 247 300 3 4.9 81.4 6744 6741678
"22" 714 11 3 67.0863888888889 -14.9522222222222 67.0380555555556 -14.8827777777778 226 211 305 3 4.9 84.2 7143 7141178
"23" 715 11 3 67.0769444444444 -15.755 67.0255555555556 -15.7508333333333 165 166 260 3 4.9 79.4 7153 7151178
"24" 716 11 3 67.1063888888889 -16.7394444444444 67.1011111111111 -16.8672222222222 348 365 460 3 4.8 87.6 7163 7161178
"25" 717 1 4 67.0675 -17.3841666666667 67.0222222222222 -17.4227777777778 235 240 345 3 5 83.2 7174 7170178
"26" 718 2 3 67.0408333333333 -18.7791666666667 66.9925 -18.8158333333333 188 170 255 3 4.9 80.2 7183 7180278
"27" 719 2 3 67.1519444444445 -19.8255555555556 67.1166666666667 -19.9147222222222 296 274 400 3 4.8 85.4 7193 7190278
"28" 719 11 4 67.1244444444444 -19.5305555555556 67.1591666666667 -19.4369444444444 375 454 470 3 4.7 90 7194 7191178
"29" 720 11 1 67.3322222222222 -20.5883333333333 67.3069444444444 -20.7075 346 325 425 3 4.9 88 7201 7201178
"30" 720 14 3 67.0825 -20.4686111111111 67.0422222222222 -20.5594444444444 233 226 320 3 5 81.6 7203 7201478
"31" 721 1 3 67.0927777777778 -21.4430555555556 67.0525 -21.5466666666667 213 219 280 3 5 83.2 7213 7210178
"32" 721 11 4 67.0344444444444 -21.2166666666667 67.0933333333333 -21.1875 172 181 250 3 5 81.6 7214 7211178
"33" 722 2 3 67.1027777777778 -23 67.0527777777778 -23 261 240 340 3 4.9 82.8 7223 7220278
"34" 722 4 4 67.1055555555556 -22.0388888888889 67.1555555555556 -22.0333333333333 217 224 295 3 4.9 83.4 7224 7220478
"35" 723 2 4 67.0277777777778 -23.4694444444444 67.0666666666667 -23.5416666666667 236 227 350 3 4.9 80.8 7234 7230278
"36" 723 4 3 67.0055555555556 -23.7722222222222 67.05 -23.725 209 224 370 3 5 80.4 7233 7230478
"37" 723 11 3 67.0130555555556 -23.9744444444444 67.0480555555555 -23.8758333333333 250 244 330 3 4.9 82.2 7233 7231178
"38" 270 61 2 62.9352777777778 -20.215 62.9761111111111 -20.1408333333333 834 844 840 3 5.7 129 2702 2706178
"39" 272 51 2 63.02 -22.2227777777778 63.0141666666667 -22.3363888888889 734 699 740 3 5.6 130 2722 2725178
"40" 273 51 1 63.0097222222222 -23.7561111111111 62.9661111111111 -23.8252777777778 616 617 640 3 5.5 129 2731 2735178
"41" 274 51 2 62.8541666666667 -24.1388888888889 62.8461111111111 -24.2388888888889 736 702 720 3 5.5 131 2742 2745178
"42" 274 52 2 62.8861111111111 -23.975 62.8666666666667 -24.0805555555556 634 644 650 3 5.5 129 2742 2745278
"43" 274 53 3 62.6922222222222 -24.5627777777778 62.6633333333333 -24.65 741 720 760 3 5.5 131 2743 2745378
"44" 274 61 1 62.7944444444444 -24.8166666666667 62.7583333333333 -24.8722222222222 464 515 530 3 5.6 124 2741 2746178
"45" 274 62 3 62.6836111111111 -24.9761111111111 62.6433333333333 -25.0258333333333 435 481 475 3 5.6 125 2743 2746278
"46" 274 63 2 62.8555555555556 -24.4111111111111 62.8388888888889 -24.5277777777778 664 628 720 3 5.5 130 2742 2746378
"47" 275 52 2 62.8611111111111 -25.1916666666667 62.8916666666667 -25.1083333333333 448 365 410 3 5.5 124 2752 2755278
"48" 275 61 4 62.575 -25.1916666666667 62.525 -25.25 684 725 730 3 5.6 129 2754 2756178
"49" 311 71 1 63.4875 -11.69 63.4422222222222 -11.7241666666667 380 391 400 3 5.7 121 3111 3117178
"50" 312 1 1 63.3316666666667 -13.005 63.3813888888889 -13.0111111111111 626 630 620 3 5.8 123 3121 3120178
"51" 312 51 3 63.0111111111111 -12.8194444444444 63.0611111111111 -12.8916666666667 561 570 570 3 5.8 122 3123 3125178
"52" 312 61 1 63.4466666666667 -12.7597222222222 63.4861111111111 -12.7027777777778 528 509 520 3 5.7 122 3121 3126178
"53" 312 71 4 63.175 -12.225 63.1355555555556 -12.2880555555556 415 423 410 3 5.6 122 3124 3127178
"54" 313 1 4 63.1861111111111 -13 63.2322222222222 -13.0438888888889 626 622 620 3 5.8 120 3134 3130178
"55" 313 21 4 63.2194444444444 -13.2583333333333 63.2694444444444 -13.2530555555556 767 760 770 3 5.7 123 3134 3132178
"56" 315 51 1 63.4516666666667 -15.8427777777778 63.4297222222222 -15.9397222222222 220 246 250 3 5.6 107 3151 3155178
"57" 316 61 1 63.3027777777778 -16.8027777777778 63.2888888888889 -16.8972222222222 538 560 550 3 5.9 123 3161 3166178
"58" 317 61 3 63.1805555555556 -17.7694444444444 63.1722222222222 -17.8833333333333 570 565 550 3 5.8 127 3173 3176178
"59" 317 62 3 63.295 -17.0933333333333 63.2819444444444 -17.2022222222222 210 207 245 3 5.7 105 3173 3176278
"60" 318 51 3 63.225 -18.5888888888889 63.2166666666667 -18.4722222222222 177 195 210 3 5.6 99.8 3183 3185178
"61" 318 61 4 63.1777777777778 -18.0444444444444 63.1833333333333 -18.1555555555556 558 558 550 3 5.7 125 3184 3186178
"62" 319 61 3 63.2433333333333 -19.9430555555556 63.1941666666667 -19.9363888888889 615 621 630 3 5.6 128 3193 3196178
"63" 319 62 1 63.2722222222222 -19.8388888888889 63.2444444444444 -19.9361111111111 594 522 560 3 5.6 127 3191 3196278
"64" 320 51 3 63.1088888888889 -20.6738888888889 63.0694444444444 -20.7652777777778 391 420 440 3 5.5 124 3203 3205178
"65" 320 61 4 63.1172222222222 -20.3438888888889 63.1197222222222 -20.4511111111111 431 452 435 3 5.7 121 3204 3206178
"66" 320 62 4 63.125 -20.1722222222222 63.0833333333333 -20.2333333333333 417 516 520 3 5.5 125 3204 3206278
"67" 321 51 3 63.1277777777778 -21.9444444444444 63.1 -22.0416666666667 516 517 540 3 5.6 126 3213 3215178
