"reitur" "tow_nr" "smareitur" "start_lat" "start_lon" "end_lat" "end_lon" "start_tow_depth" "end_tow_depth" "warp" "tow_length" "tow_vert_open" "tow_horiz_open" "gridcell" "station"
"1" 316 11 2 63.4177777777778 -16.315 63.4175 -16.2038888888889 130 145 210 3 5 75.4 3162 3161177
"2" 317 1 2 63.2577777777778 -17.5155555555556 63.2730555555556 -17.4027777777778 180 177 290 3 4.9 79.4 3172 3170177
"3" 318 1 1 63.355 -18.85 63.375 -18.7522222222222 61 79 100 3 5.3 63 3181 3180177
"4" 319 1 2 63.3677777777778 -19.4416666666667 63.3377777777778 -19.3433333333333 105 119 170 3 5.1 71.4 3192 3190177
"5" 319 11 2 63.3405555555556 -19.1627777777778 63.3513888888889 -19.2677777777778 96 93 130 3 5.1 65.8 3192 3191177
"6" 320 2 2 63.2727777777778 -20.1525 63.3275 -20.1163888888889 136 136 200 3 4.9 76 3202 3200277
"7" 320 11 3 63.2605555555556 -21.0375 63.2480555555556 -20.9269444444444 155 157 225 3 4.8 76.2 3203 3201177
"8" 321 3 2 63.3727777777778 -21.1716666666667 63.3233333333333 -21.1727777777778 131 153 230 3 4.6 78.4 3212 3210377
"9" 321 4 2 63.4516666666667 -21.4511111111111 63.4058333333333 -21.4769444444444 127 142 210 3 4.9 74 3212 3210477
"10" 322 2 2 63.4861111111111 -22.1583333333333 63.4938888888889 -22.2691666666667 206 239 300 3 4.6 82.2 3222 3220277
"11" 322 11 4 63.0738888888889 -22.2997222222222 63.0986111111111 -22.1980555555556 369 333 450 3 4.9 83.8 3224 3221177
"12" 323 2 2 63.3466666666667 -23.1383333333333 63.3983333333333 -23.1344444444444 269 231 310 3 5 80.8 3232 3230277
"13" 323 12 1 63.2361111111111 -24.0805555555556 63.2583333333333 -23.9916666666667 237 239 360 3 4.9 82.4 3231 3231277
"14" 324 2 4 63.0416666666667 -24.3638888888889 63.025 -24.4638888888889 390 422 535 3 4.9 87 3244 3240277
"15" 324 12 3 63.1533333333333 -24.8566666666667 63.1641666666667 -24.9561111111111 297 309 335 3 4.9 84.2 3243 3241277
"16" 325 11 1 63.3886111111111 -25.7419444444444 63.4225 -25.8166666666667 360 356 450 3 4.8 86.8 3251 3251177
"17" 363 11 1 63.9244444444444 -13.7519444444444 63.9486111111111 -13.6586111111111 177 238 300 3 5 81.4 3631 3631177
"18" 364 2 3 63.7430555555556 -14.7236111111111 63.7016666666667 -14.6705555555556 180 170 230 3 4.9 80 3643 3640277
"19" 365 1 4 63.5666666666667 -15.3041666666667 63.5675 -15.1922222222222 108 150 210 3 4.9 76.6 3654 3650177
"20" 365 11 4 63.6722222222222 -15.1391666666667 63.6766666666667 -15.2488888888889 111 107 180 3 5.1 71.8 3654 3651177
"21" 366 1 2 63.7527777777778 -16.3738888888889 63.8019444444444 -16.4091666666667 87 64 115 3 5.2 66.6 3662 3660177
"22" 366 2 1 63.7697222222222 -16.545 63.7486111111111 -16.4416666666667 73 80 113 3 5.2 65.6 3661 3660277
"23" 367 11 4 63.5061111111111 -17.275 63.5355555555556 -17.1936111111111 108 165 200 3 5 76.4 3674 3671177
"24" 371 31 4 63.6972222222222 -21.5430555555556 63.7002777777778 -21.4202777777778 106 89 140 3 4.9 67.6 3714 3713177
"25" 372 2 1 63.8944444444444 -22.9222222222222 63.9458333333333 -22.92 103 93 160 3 5.1 68 3721 3720277
"26" 372 12 4 63.7569444444444 -22.3544444444444 63.7563888888889 -22.2416666666667 106 109 115 3 5 71 3724 3721277
"27" 373 3 2 63.9833333333333 -23.3 63.9916666666667 -23.4183333333333 116 124 195 3 5 75 3732 3730377
"28" 373 12 1 63.8 -23.6388888888889 63.8341666666667 -23.7186111111111 148 150 255 3 5.1 74.4 3731 3731277
"29" 374 2 2 63.8416666666667 -24.3 63.8936111111111 -24.2522222222222 270 268 400 3 5 81.6 3742 3740277
"30" 374 3 2 63.9111111111111 -24.26 63.9536111111111 -24.1986111111111 312 312 410 3 5 84.4 3742 3740377
"31" 375 1 2 63.9916666666667 -25.2305555555556 63.9347222222222 -25.275 225 235 280 3 5 83.2 3752 3750177
"32" 375 11 1 63.8552777777778 -25.6333333333333 63.8388888888889 -25.7333333333333 222 220 270 3 5 80 3751 3751177
"33" 376 1 2 63.9027777777778 -26.3583333333333 63.8777777777778 -26.4638888888889 260 306 360 3 4.8 82.4 3762 3760177
"34" 412 3 3 64.1605555555556 -12.8916666666667 64.1852777777778 -12.8077777777778 338 357 450 3 5 85.8 4123 4120377
"35" 413 2 4 64.0255555555556 -13.3580555555556 64.0272222222222 -13.2386111111111 252 385 370 3 5 81.8 4134 4130277
"36" 413 15 1 64.3355555555556 -13.7747222222222 64.2875 -13.8036111111111 150 131 220 3 5 74 4131 4131577
"37" 414 1 4 64.1666666666667 -14.3755555555556 64.1905555555556 -14.4766666666667 156 167 210 3 5 76.6 4144 4140177
"38" 414 36 2 64.2863888888889 -14.2577777777778 64.3188888888889 -14.2577777777778 103 98 135 2 5 73.8 4142 4143677
"39" 422 11 1 64.3933333333333 -22.8169444444444 64.4413888888889 -22.7913888888889 83 81 140 3 5.3 66.2 4221 4221177
"40" 422 32 4 64.1888888888889 -22.175 64.1722222222222 -22.2694444444444 36 24 70 3 5.4 54.2 4224 4223277
"41" 423 3 2 64.4638888888889 -23.1777777777778 64.4583333333333 -23.0694444444444 137 121 225 3 4.9 71.4 4232 4230377
"42" 423 12 3 64.1733333333333 -23.7091666666667 64.2177777777778 -23.6577777777778 120 109 150 3 5.3 72.6 4233 4231277
"43" 424 3 3 64.1366666666667 -24.6577777777778 64.1108333333333 -24.7472222222222 224 209 300 3 5.1 79.8 4243 4240377
"44" 424 13 3 64.2472222222222 -24.5166666666667 64.2277777777778 -24.6194444444444 213 195 275 3 5.1 79.8 4243 4241377
"45" 425 11 4 64.25 -25.2527777777778 64.2027777777778 -25.2861111111111 252 255 370 3 5 84 4254 4251177
"46" 425 12 3 64.0166666666667 -25.4944444444444 64.01 -25.6083333333333 182 207 250 3 4.9 80.8 4253 4251277
"47" 426 1 3 64.0055555555556 -26.7 64.05 -26.7527777777778 414 408 470 3 4.9 88.8 4263 4260177
"48" 426 11 2 64.4305555555556 -26.2166666666667 64.4694444444444 -26.2833333333333 280 273 360 3 4.8 83.4 4262 4261177
"49" 461 1 1 64.8508333333333 -11.6588888888889 64.8088888888889 -11.7044444444444 316 259 400 3 4.9 85.6 4611 4610177
"50" 462 2 4 64.5619444444444 -12.3769444444444 64.5341666666667 -12.2686111111111 199 192 280 3 4.9 81.8 4624 4620277
"51" 462 7 3 64.6744444444444 -12.5088888888889 64.7247222222222 -12.5069444444444 145 148 220 3 5 78.8 4623 4620777
"52" 463 1 4 64.5430555555556 -13.1394444444444 64.5538888888889 -13.0186111111111 125 128 180 3 5 74.4 4634 4630177
"53" 463 32 1 64.9208333333333 -13.9508333333333 64.9044444444445 -13.8355555555556 86 96 115 3 5.4 62 4631 4633277
"54" 463 35 1 64.9891666666667 -13.8027777777778 65.0008333333333 -13.8705555555556 143 154 200 2 5 72.4 4631 4633577
"55" 472 11 3 64.6416666666667 -22.7722222222222 64.5861111111111 -22.8166666666667 51 63 115 3 5.3 62.4 4723 4721177
"56" 473 2 1 64.9883333333333 -23.9375 65.0105555555556 -23.8333333333333 214 217 270 3 5 77.6 4731 4730277
"57" 474 4 4 64.6666666666667 -24.2222222222222 64.7166666666667 -24.275 105 146 260 3 5.1 74.2 4744 4740477
"58" 474 11 3 64.6055555555556 -24.6694444444444 64.6166666666667 -24.5527777777778 266 275 425 3 4.9 82.2 4743 4741177
"59" 475 1 3 64.6833333333333 -25.9305555555556 64.7027777777778 -25.8194444444444 229 220 270 3 4.9 81.8 4753 4750177
"60" 475 3 1 64.9361111111111 -25.6694444444444 64.9333333333333 -25.55 173 160 270 3 4.9 78.8 4751 4750377
"61" 476 1 2 64.775 -26.4527777777778 64.8155555555555 -26.4930555555556 198 195 300 3 5 81.8 4762 4760177
"62" 476 12 1 64.9611111111111 -26.7611111111111 64.9833333333333 -26.6555555555556 207 190 270 3 4.9 81.4 4761 4761277
"63" 511 11 1 65.3016666666667 -11.9588888888889 65.2711111111111 -11.8597222222222 216 197 325 3 5 81.8 5111 5111177
"64" 512 14 4 65.0758333333333 -12.3555555555556 65.0877777777778 -12.2408333333333 208 189 270 3 5 82.4 5124 5121477
"65" 513 2 4 65.0766666666667 -13.0536111111111 65.125 -13.0538888888889 156 145 200 3 4.9 76 5134 5130277
"66" 513 11 2 65.3483333333333 -13.1358333333333 65.3547222222222 -13.2580555555556 203 180 280 3 5 79 5132 5131177
"67" 513 35 3 65.2052777777778 -13.7722222222222 65.2011111111111 -13.6866666666667 88 93 130 2 5.4 64.2 5133 5133577
"68" 521 35 2 65.3955555555556 -21.1525 65.4363888888889 -21.1425 50 72 95 2 5.5 59.8 5212 5213577
"69" 521 36 2 65.4105555555556 -21.0030555555556 65.4430555555556 -21.0236111111111 66 72 95 2 5.5 59 5212 5213677
"70" 523 11 3 65.1794444444444 -23.8080555555556 65.1388888888889 -23.8561111111111 62 107 95 3 5.2 64.6 5233 5231177
"71" 523 31 4 65.24 -23.1833333333333 65.205 -23.2905555555556 101 146 125 3 5.1 69.6 5234 5233177
